trait_type,phenocode,pheno_sex,description,BIN_QT,n_cases_EUR,n_controls_EUR,N,Neff,filename,aws_link,estimates.final.h2_observed
phecode,41.1,both_sexes,Staphylococcus infections,BIN,3852,401597.0,405449,7630.807544228744,phecode-041.1-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-041.1-both_sexes.tsv.bgz,0.0008
phecode,41.2,both_sexes,Streptococcus infection,BIN,2020,401597.0,403617,4019.7808318281936,phecode-041.2-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-041.2-both_sexes.tsv.bgz,0.0013
phecode,41.4,both_sexes,E. coli,BIN,3779,401597.0,405376,7487.542740566782,phecode-041.4-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-041.4-both_sexes.tsv.bgz,0.0032
phecode,78,both_sexes,Viral warts & HPV,BIN,1142,413496.0,414638,2277.709385053951,phecode-078-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-078-both_sexes.tsv.bgz,0.0029
phecode,79,both_sexes,Viral infection,BIN,3474,413496.0,416970,6890.112497301963,phecode-079-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-079-both_sexes.tsv.bgz,-1.22e-05
phecode,80,both_sexes,Postoperative infection,BIN,5280,414252.0,419532,10427.097623065702,phecode-080-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-080-both_sexes.tsv.bgz,0.0013
phecode,81,both_sexes,Infection/inflammation of internal prosthetic device; implant; and graft,BIN,1221,414252.0,415473,2434.823403686882,phecode-081-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-081-both_sexes.tsv.bgz,0.0016
phecode,1001,both_sexes,Foreign body injury,BIN,1464,419067.0,420531,2917.8067157950304,phecode-1001-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1001-both_sexes.tsv.bgz,0.0043
phecode,1002,both_sexes,"Symptoms concerning nutrition, metabolism, and development",BIN,7469,413062.0,420531,14672.687996842089,phecode-1002-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1002-both_sexes.tsv.bgz,0.0011
phecode,1005,both_sexes,Other symptoms,BIN,1684,418847.0,420531,3354.512975262228,phecode-1005-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1005-both_sexes.tsv.bgz,0.0063
